URL;URLLength;Domain;DomainLength;IsDomainIP;TLD;URLSimilarityIndex;CharContinuationRate;TLDLegitimateProb;URLCharProb;TLDLength;NoOfSubDomain;HasObfuscation;NoOfObfuscatedChar;ObfuscationRatio;NoOfLettersInURL;LetterRatioInURL;NoOfDegitsInURL;DegitRatioInURL;NoOfEqualsInURL;NoOfQMarkInURL;NoOfAmpersandInURL;NoOfOtherSpecialCharsInURL;SpacialCharRatioInURL;IsHTTPS;LineOfCode;LargestLineLength;HasTitle;Title;DomainTitleMatchScore;URLTitleMatchScore;HasFavicon;Robots;IsResponsive;NoOfURLRedirect;NoOfSelfRedirect;HasDescription;NoOfPopup;NoOfiFrame;HasExternalFormSubmit;HasSocialNet;HasSubmitButton;HasHiddenFields;HasPasswordField;Bank;Pay;Crypto;HasCopyrightInfo;NoOfImage;NoOfCSS;NoOfJS;NoOfSelfRef;NoOfEmptyRef;NoOfExternalRef;label;IP;DNS;Reverse DNS;n_dns;City;Region;Country;Org;Postal;Timezone;Hostname;Latitude;Longitude
https://www.southbankmosaics.com;31.0;www.southbankmosaics.com;24.0;0.0;com;100.0;1.0;0.5229071;0.061933179;3.0;1.0;0.0;0.0;0.0;18.0;0.581;0.0;0.0;0.0;0.0;0.0;1.0;0.032;1.0;558.0;9381.0;1.0;à¸‚à¹ˆà¸²à¸§à¸ªà¸” à¸‚à¹ˆà¸²à¸§à¸§à¸±à¸™à¸™à¸µà¹‰ à¸‚à¹ˆà¸²à¸§à¸à¸µà¸¬à¸² à¸‚à¹ˆà¸²à¸§à¸šà¸±à¸™à¹€à¸—à¸´à¸‡ à¸­à¸±à¸žà¹€à¸”à¸—à¸ªà¸”à¹ƒà¸«à¸¡à¹ˆà¸—à¸¸à¸à¸§à¸±à¸™ &#8211;;;;;;;;;;;;;;;;;;;;;;;;;;;142.93.145.212;www.southbankmosaics.com;371238.cloudwaysapps.com;0;Toronto;Ontario;CA;AS14061 DigitalOcean, LLC;M5A;America/Toronto;371238.cloudwaysapps.com;43.7064;-79.3986
https://www.uni-mainz.de;23.0;www.uni-mainz.de;16.0;0.0;de;100.0;0.666666667;0.0326503;0.050207214;2.0;1.0;0.0;0.0;0.0;9.0;0.391;0.0;0.0;0.0;0.0;0.0;2.0;0.087;1.0;618.0;9381.0;1.0;johannes gutenberg-universitÃ¤t mainz;55.55555556;55.55555556;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;50.0;9.0;8.0;39.0;0.0;217.0;1.0;134.93.178.47;www.uni-mainz.de;cms.zdv.uni-mainz.de;0;Mainz;Rheinland-Pfalz;DE;AS2857 Johannes Gutenberg-Universitaet Mainz;55118;Europe/Berlin;cms.zdv.uni-mainz.de;49.9842;8.2791
https://www.voicefmradio.co.uk;29.0;www.voicefmradio.co.uk;22.0;0.0;uk;100.0;0.866666667;0.028555;0.06412872;2.0;2.0;0.0;0.0;0.0;15.0;0.517;0.0;0.0;0.0;0.0;0.0;2.0;0.069;1.0;467.0;682.0;1.0;voice fm southampton;46.66666667;46.66666667;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;10.0;2.0;7.0;42.0;2.0;5.0;1.0;3.160.132.110;www.voicefmradio.co.uk;server-3-160-132-110.lis50.r.cloudfront.net;0;Lisbon;Lisbon;PT;AS16509 Amazon.com, Inc.;1000-001;Europe/Lisbon;server-3-160-132-110.lis50.r.cloudfront.net;38.7167;-9.1333
https://www.sfnmjournal.com;26.0;www.sfnmjournal.com;19.0;0.0;com;100.0;1.0;0.5229071;0.057605756;3.0;1.0;0.0;0.0;0.0;13.0;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.038;1.0;6356.0;26824.0;1.0;home page: seminars in fetal and neonatal medicine ;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;12.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;3.0;27.0;15.0;22.0;1.0;31.0;1.0;104.18.124.114;www.sfnmjournal.com;;0;San Francisco;California;US;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;;37.7621;-122.3971
https://www.rewildingargentina.org;33.0;www.rewildingargentina.org;26.0;0.0;org;100.0;1.0;0.0799628;0.059441389;3.0;1.0;0.0;0.0;0.0;20.0;0.606;0.0;0.0;0.0;0.0;0.0;1.0;0.03;1.0;6089.0;28404.0;1.0;fundaciÃ³n rewilding argentina;100.0;100.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;244.0;15.0;34.0;72.0;1.0;85.0;1.0;45.167.121.53;www.rewildingargentina.org;web1.lantech.com.ar;0;Buenos Aires;Buenos Aires F.D.;AR;AS267751 LANTECH SOLUCIONES SOCIEDAD DE RESPONSABILIDAD LIMITADA;1871;America/Argentina/Buenos_Aires;web1.lantech.com.ar;-34.6131;-58.3772
https://www.globalreporting.org;30.0;www.globalreporting.org;23.0;0.0;org;100.0;1.0;0.0799628;0.060614474;3.0;1.0;0.0;0.0;0.0;17.0;0.567;0.0;0.0;0.0;0.0;0.0;1.0;0.033;1.0;1210.0;737.0;1.0;gri - home;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;35.0;1.0;11.0;86.0;0.0;14.0;1.0;104.22.46.216;www.globalreporting.org;;0;San Francisco;California;US;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;;37.7621;-122.3971
https://www.saffronart.com;25.0;www.saffronart.com;18.0;0.0;com;100.0;1.0;0.5229071;0.063549404;3.0;1.0;0.0;0.0;0.0;12.0;0.48;0.0;0.0;0.0;0.0;0.0;1.0;0.04;1.0;1024.0;984.0;1.0;0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;2.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;32.0;4.0;14.0;44.0;2.0;17.0;1.0;172.67.68.10;www.saffronart.com;;0;San Francisco;California;US;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;;37.7621;-122.3971
https://www.nerdscandy.com;25.0;www.nerdscandy.com;18.0;0.0;com;100.0;1.0;0.5229071;0.0604856;3.0;1.0;0.0;0.0;0.0;12.0;0.48;0.0;0.0;0.0;0.0;0.0;1.0;0.04;1.0;514.0;399.0;1.0;nerds candy;100.0;100.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;24.0;2.0;22.0;36.0;0.0;15.0;1.0;152.199.21.175;www.nerdscandy.com;;0;Warsaw;Mazovia;PL;AS15133 Edgecast Inc.;00-002;Europe/Warsaw;;52.2298;21.0118
https://www.hyderabadonline.in;29.0;www.hyderabadonline.in;22.0;0.0;in;100.0;1.0;0.0050842;0.056980442;2.0;1.0;0.0;0.0;0.0;16.0;0.552;0.0;0.0;0.0;0.0;0.0;1.0;0.034;1.0;2371.0;12913.0;1.0;hyderabadonline - business listing in hyderabad, hyderabad news, the fort of golconda, travel guide;100.0;100.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;71.0;4.0;9.0;40.0;1.0;317.0;1.0;104.211.74.196;www.hyderabadonline.in;;0;Pune;Maharashtra;IN;AS8075 Microsoft Corporation;411001;Asia/Kolkata;;18.5196;73.8554
https://www.aap.org;18.0;www.aap.org;11.0;0.0;org;100.0;1.0;0.0799628;0.070497453;3.0;1.0;0.0;0.0;0.0;5.0;0.278;0.0;0.0;0.0;0.0;0.0;1.0;0.056;1.0;2730.0;481.0;1.0;home;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;10.0;1.0;12.0;173.0;6.0;65.0;1.0;184.154.38.11;www.aap.org;fw1.chg.aap.org;0;Chicago;Illinois;US;AS32475 SingleHop LLC;60666;America/Chicago;fw1.chg.aap.org;41.85;-87.65
