URL;URLLength;Domain;DomainLength;IsDomainIP;TLD;URLSimilarityIndex;CharContinuationRate;TLDLegitimateProb;URLCharProb;TLDLength;NoOfSubDomain;HasObfuscation;NoOfObfuscatedChar;ObfuscationRatio;NoOfLettersInURL;LetterRatioInURL;NoOfDegitsInURL;DegitRatioInURL;NoOfEqualsInURL;NoOfQMarkInURL;NoOfAmpersandInURL;NoOfOtherSpecialCharsInURL;SpacialCharRatioInURL;IsHTTPS;LineOfCode;LargestLineLength;HasTitle;Title;DomainTitleMatchScore;URLTitleMatchScore;HasFavicon;Robots;IsResponsive;NoOfURLRedirect;NoOfSelfRedirect;HasDescription;NoOfPopup;NoOfiFrame;HasExternalFormSubmit;HasSocialNet;HasSubmitButton;HasHiddenFields;HasPasswordField;Bank;Pay;Crypto;HasCopyrightInfo;NoOfImage;NoOfCSS;NoOfJS;NoOfSelfRef;NoOfEmptyRef;NoOfExternalRef;label;Unnamed: 55;Unnamed: 56;Unnamed: 57;Unnamed: 58;Unnamed: 59;Unnamed: 60;Unnamed: 61
https://www.leagueofgamemakers.com;33.0;www.leagueofgamemakers.com;26.0;0.0;com;100.0;1.0;0.5229071;0.064173027;3.0;1.0;0.0;0.0;0.0;20.0;0.606;0.0;0.0;0.0;0.0;0.0;1.0;0.03;1.0;770.0;1746.0;1.0;leagueofgamemakers;100.0;100.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;28.0;15.0;34.0;121.0;10.0;26.0;1.0;;;;;;;
https://www.progressivepolicy.org;32.0;www.progressivepolicy.org;25.0;0.0;org;100.0;1.0;0.0799628;0.059405157;3.0;1.0;0.0;0.0;0.0;19.0;0.594;0.0;0.0;0.0;0.0;0.0;1.0;0.031;1.0;1329.0;9381.0;1.0;progressivepolicy;100.0;100.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;47.0;8.0;7.0;102.0;0.0;127.0;1.0;;;;;;;
https://www.shaleexperts.com;27.0;www.shaleexperts.com;20.0;0.0;com;100.0;1.0;0.5229071;0.060649613;3.0;1.0;0.0;0.0;0.0;14.0;0.519;0.0;0.0;0.0;0.0;0.0;1.0;0.037;1.0;4313.0;1069.0;1.0;shaleexperts;100.0;100.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;10.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;76.0;8.0;20.0;614.0;0.0;616.0;1.0;;;;;;;
http://www.tan.cn;17.0;www.tan.cn;10.0;0.0;cn;74.48979592;1.0;0.0033218;0.064909418;2.0;1.0;0.0;0.0;0.0;5.0;0.294;0.0;0.0;0.0;0.0;0.0;1.0;0.059;0.0;11.0;84.0;1.0;tan;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;
https://www.khtt.net;19.0;www.khtt.net;12.0;0.0;net;100.0;1.0;0.0384199;0.049507018;3.0;1.0;0.0;0.0;0.0;6.0;0.316;0.0;0.0;0.0;0.0;0.0;1.0;0.053;1.0;1513.0;1056.0;1.0;khtt;100.0;100.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;17.0;3.0;8.0;40.0;15.0;6.0;1.0;;;;;;;
https://www.beeline-site.ru;26.0;www.beeline-site.ru;19.0;0.0;ru;100.0;0.666666667;0.0180132;0.065062428;2.0;1.0;0.0;0.0;0.0;12.0;0.462;0.0;0.0;0.0;0.0;0.0;2.0;0.077;1.0;6074.0;1874.0;1.0;beeline-site;100.0;100.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;24.0;1.0;4.0;72.0;23.0;52.0;1.0;;;;;;;
https://bio.site/dufghru;24.0;bio.site;8.0;0.0;site;52.94117647;1.0;0.0017656;0.048198072;4.0;0.0;0.0;0.0;0.0;14.0;0.583;0.0;0.0;0.0;0.0;0.0;2.0;0.083;1.0;3332.0;444703.0;1.0;biodufghru;0.0;100.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;5.0;0.0;2.0;3.0;0.0;14.0;0.0;;;;;;;
http://www.vcsczxsa.ga;21.0;www.vcsczxsa.ga;15.0;0.0;ga;59.50854701;1.0;0.0002256;0.042907102;2.0;1.0;0.0;0.0;0.0;9.0;0.429;0.0;0.0;0.0;0.0;0.0;1.0;0.048;0.0;20.0;209.0;1.0;vcsczxsa;100.0;100.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;
https://cf-ipfs.com/ipfs/qmvahdhqgh5ilq6cqmjdpacxtccawzmazdrn4xislmbbyu;71.0;cf-ipfs.com;11.0;0.0;com;14.60537919;0.714285714;0.5229071;0.039118444;3.0;0.0;0.0;0.0;0.0;56.0;0.789;3.0;0.042;0.0;0.0;0.0;4.0;0.056;1.0;4.0;86.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;;;;
http://www.first.voiceofman.com;30.0;www.first.voiceofman.com;24.0;0.0;com;64.04432133;0.6875;0.5229071;0.063701088;3.0;2.0;0.0;0.0;0.0;17.0;0.567;0.0;0.0;0.0;0.0;0.0;2.0;0.067;0.0;2.0;39.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;
